name,species,gender,house,blood
Satinder Singh,Human,Female,Hufflepuff,unknown
Ariel Singleton,Human,Female,unknown,unknown
Aurora Sinistra,Human,Female,unknown,unknown
Rita Skeeter,Human,Female,unknown,Pure-blood
Wendy Slinkhard,Human,Female,unknown,unknown
Sixth-year Inquisitorial Squad member,Human,Female,Slytherin,unknown
Enid Smeek,Human,Female,unknown,unknown
Smeltings nurse,Human,Female,unknown,Muggle
Veronica Smethley,Human,Female,unknown,unknown
Leopoldina Smethwyck,Human,Female,unknown,unknown
Dodie Smith,Human,Female,unknown,Muggle
Hepzibah Smith,Human,Female,unknown,unknown
Lisa Smith,Human,Female,unknown,Muggle
Sally Smith,Human,Female,Gryffindor,unknown
Smoky-eyed Potions professor,Human,Female,unknown,unknown
Elizabeth Smudgling,Human,Female,unknown,unknown
Georgina Smyth,Human,Female,unknown,unknown
Merula Snyde,unknown,Female,Slytherin,Pure-blood
Merula Snyde's mother,Human,Female,Slytherin,Pure-blood
Sofie,Human,Female,unknown,Muggle
Leticia Somnolens,Hag,Female,unknown,unknown
Susie Sooth,Human,Female,unknown,unknown
Sophie Duchamps,Human,Female,unknown,unknown
Sphinx in the Red Cap's Hole,Sphinx,Female,unknown,unknown
Alicia Spinnet,Human,Female,Gryffindor,Pure-blood
Phyllida Spore,Human,Female,unknown,unknown
Pomona Sprout,Human,Female,Hufflepuff,Half-blood
Squawk,Occamy,Female,unknown,unknown
Squibbert,Human,Female,unknown,unknown
Emma Squiggle,Human,Female,unknown,unknown
Winged St Mungo's patient,Human,Female,unknown,unknown
Theresa Stadt,Human,Female,unknown,unknown
Erica Stainwright,Human,Female,unknown,unknown
Melanie Stanmore,Human,Female,Gryffindor,unknown
Staring Muggle,Human,Female,unknown,Muggle
Hesper Starkey,Human,Female,unknown,unknown
Stevens,Human,Female,unknown,Muggle
Dinah Stevenson,Human,Female,unknown,unknown
Martha Steward,Human,Female,unknown,Muggle
Martha Steward II,Human,Female,unknown,Squib
Rionach Steward,Human,Female,unknown,Half-blood
Hazel Stickney,Human,Female,Ravenclaw,unknown
Patricia Stimpson,Human,Female,unknown,unknown
Violeta Stitch,Human,Female,unknown,unknown
Brunhilde Stokke,Human,Female,unknown,unknown
Imogen Stretton,Human,Female,Slytherin,unknown
Miriam Strout,Human,Female,unknown,unknown
Aki Sugiyama,Human,Female,Hufflepuff,unknown
Sunita Mistry,Human,Female,unknown,unknown
Natsumi Suzuki,Human,Female,Hufflepuff,unknown
Bethany Swordbane,Human,Female,unknown,unknown
Jocunda Sykes,Human,Female,unknown,unknown
Sylvia,Human,Female,unknown,Muggle
Tabitha Tabella,Human,Female,unknown,unknown
Keiko Takahashi,Human,Female,unknown,unknown
Lucinda Talkalot,Human,Female,Slytherin,unknown
Lina Tande,Human,Female,Hufflepuff,unknown
Sujita Tande,Human,Female,Gryffindor,unknown
Emily Taylor,Human,Female,Gryffindor,unknown
Penelope Taylor,Human,Female,unknown,Muggle
Tyra Teegarden,unknown,Female,unknown,unknown
Siobhan Templeton,Human,Female,Hufflepuff,unknown
Tessie,Human,Female,unknown,Pure-blood
Heather Thatcham,Human,Female,Slytherin,unknown
The Fates,unknown,Female,unknown,unknown
The Maiden's kinsfolk,Human,unknown,unknown,unknown
The Warlock's family,unknown,unknown,unknown,unknown
Janus Thickey's wife,Human,Female,unknown,unknown
Robyn Thistlethwaite,Human,Female,Gryffindor,unknown
Dean Thomas's mother,unknown,Female,unknown,Muggle
Lucinda Thomsonicle-Pocus,Human,Female,unknown,unknown
Laura Thorn,Human,Female,unknown,Muggle
Laura Thorn's sister,Human,Female,unknown,Muggle
Agatha Thrussington,Human,Female,Hufflepuff,unknown
Violet Tillyman,Human,Female,unknown,Pure-blood
Violet Tillyman's mother,Human,Female,unknown,unknown
Agatha Timms,Human,Female,unknown,unknown
Isabella Tintwistle,Human,Female,Hufflepuff,unknown
Lesley Toddington,Human,Female,Hufflepuff,unknown
Tilly Toke,Human,Female,unknown,unknown
Alice Tolipan (Muggle),Human,Female,unknown,Muggle
Alice Tolipan (witch),Human,Female,Gryffindor,unknown
Andromeda Tonks,Human,Female,Slytherin,Pure-blood
Nymphadora Tonks,Human,Female,Hufflepuff,Half-blood
Alberta Toothill,Human,Female,unknown,unknown
Cassandra Trelawney,Human,Female,unknown,unknown
Sybill Trelawney's mother,Human,Female,unknown,Muggle
Sybill Trelawney,Human,Female,Ravenclaw,Half-blood
Leonie Tremblay,Human,Female,unknown,Pure-blood
Donaghan Tremlett's mother,Human,Male,unknown,Muggle
Bronwyn Trigg,Human,Female,unknown,unknown
Jessica Tring,Human,Female,Hufflepuff,unknown
Magenta Tripe,Human,Female,unknown,Pure-blood
Trolley witch,Human,Female,unknown,unknown
Miyuki Tsuji,Human,Female,Ravenclaw,unknown
Tubbs,Human,Female,unknown,unknown
Wilhelmina Tuft,Human,Female,unknown,Pure-blood
Felicitania Tugwood,Human,Female,unknown,unknown
Sacharissa Tugwood,Human,Female,unknown,unknown
Lottie Turner,Human,Female,unknown,unknown
Lisa Turpin,Human,Female,Ravenclaw,unknown
Liz Tuttle,Human,Female,Slytherin,Half-blood
Liz Tuttle's maternal grandmother,Human,Female,unknown,unknown
Liz Tuttle's sister,Human,Female,unknown,Half-blood
Liz Tuttle's mother,Human,Female,unknown,Pure-blood
Dorcus Twelvetrees,Human,Female,unknown,Pure-blood
Daisy Twemlove,Human,Female,unknown,unknown
Wilhemina Twigge,Human,Female,unknown,unknown
Two little witches,Human,Female,unknown,unknown
Emily Tyler,Human,Female,Gryffindor,unknown
Dolores Umbridge,Human,Female,Slytherin,Half-blood
Unidentified 1910s Gryffindor girl (I),Human,Female,Gryffindor,unknown
Unidentified 1910s Gryffindor girl (II),Human,Female,Gryffindor,unknown
Unidentified 19th-century Herbology professor,Human,Female,unknown,unknown
Unidentified 8-year-old Muggle girl,Human,Female,unknown,Muggle
Unidentified Beater,Human,Female,unknown,unknown
Unidentified Beauxbatons students,unknown,unknown,unknown,unknown
Unidentified blonde Slytherin girl,Human,Female,Slytherin,Pure-blood
Unidentified brown-haired Gryffindor girl,Human,Female,Gryffindor,unknown
Unidentified children in the MACUSA headquarters,Human,Male,unknown,unknown
Unidentified Daily Prophet journalist,Human,Female,unknown,unknown
Unidentified dame soothsayer,Human,Female,unknown,Muggle
Unidentified daughter,Human,Female,unknown,Muggle
Unidentified executioner (I),Human,Female,unknown,unknown
Unidentified female Chinese Fireball,Dragon,Female,unknown,unknown
Unidentified female Common Welsh Green,Dragon,Female,unknown,unknown
Unidentified female Council of Magical Law juror,Human,Female,unknown,unknown
Unidentified female Customer in Bakery,Human,Female,unknown,Muggle
Unidentified female Hogwarts student who helped Unidentified Female Hogwarts teacher (XII),unknown,Female,unknown,unknown
Unidentified female Hungarian Horntail,Dragon,Female,unknown,unknown
Unidentified female Snatcher during the Battle of Hogwarts,Human,Female,unknown,Pure-blood
Unidentified female Swedish Short-Snout,Dragon,Female,unknown,unknown
Unidentified five Aurors,Human,Male,unknown,unknown
Unidentified florist in Diagon Alley,Human,Female,unknown,unknown
Unidentified French Ministry of Magic receptionist,Human,Female,unknown,unknown
Unidentified frizzy-haired Wizengamot member,Human,Female,unknown,unknown
Unidentified Ghosts,unknown,Female,unknown,unknown
Unidentified girl during the Battle of Hogwarts,Human,Female,unknown,unknown
Unidentified girl in the Great Hall (I),Human,Female,Gryffindor,unknown
Unidentified girls in the Gryffindor Girls' Dormitory,Human,Female,Gryffindor,unknown
Unidentified grandmother,Human,Female,unknown,Muggle
Unidentified Gryffindor beater,Human,Female,Gryffindor,unknown
Unidentified Gryffindor chaser (III),Human,Female,Gryffindor,unknown
Unidentified Gryffindor chaser (IV),Human,Female,Gryffindor,unknown
Unidentified Gryffindor girl (VII),Human,Female,Gryffindor,unknown
Unidentified Gryffindor girl (X),Human,Female,Gryffindor,unknown
Unidentified Gryffindor lady,Human,Female,Gryffindor,unknown
Unidentified Gryffindor member of Dumbledore's Army (II),Human,Female,Gryffindor,Pure-blood
Unidentified Gryffindor Prefect,Human,Female,Gryffindor,unknown
Unidentified guide,Human,Female,unknown,unknown
Unidentified Head Girl,Human,Female,unknown,unknown
Unidentified Hogwarts employees,unknown,unknown,unknown,unknown
Unidentified Hogwarts students at the Battle of Hogwarts,unknown,unknown,unknown,unknown
Unidentified Hogwarts students killed on the Seventh Floor,Human,unknown,Gryffindor,unknown
Unidentified housewife,Human,Female,unknown,Muggle
Unidentified Hufflepuff girl (VI),Human,Female,Hufflepuff,unknown
Unidentified Hufflepuff member of Dumbledore's Army,Human,Female,Hufflepuff,unknown
Unidentified Keeper (II),Human,Female,Ravenclaw,unknown
Unidentified little girl,Human,Female,Slytherin,unknown
Unidentified MACUSA Aurors,unknown,unknown,unknown,unknown
Unidentified Madam Malkin's Robes for All Occasions employee,Human,Female,unknown,unknown
Unidentified Merwoman at the Great Lake,Merpeople,Female,unknown,unknown
Unidentified Ministry witch (I),Human,Female,unknown,unknown
Unidentified Muggle child in Zoo,Human,Female,unknown,Muggle
Unidentified Muggle family,unknown,unknown,unknown,Muggle
Unidentified Muggle girl from Liverpool,Human,Female,unknown,Muggle
Unidentified Muggle woman,Human,Female,unknown,Muggle
Unidentified Muggle woman (III),Human,Female,unknown,Muggle
Unidentified Muggle woman about the train to Kettering,Human,Female,unknown,Muggle
Unidentified Muggle woman on Chertsey train,Human,Female,unknown,Muggle
Unidentified Muggle woman who was looking at Rubeus Hagrid in 1991,Human,Female,unknown,Muggle
Unidentified Muggle-born Hogwarts student's parents,Human,Female,unknown,Muggle
Unidentified Muggle-Worthy Excuse Committee clerk,Human,Female,unknown,unknown
Unidentified Narragansett children,Human,Female,unknown,unknown
Unidentified Narragansett mother,Human,Female,unknown,unknown
Unidentified nine-year old's grandparents,Human,unknown,unknown,unknown
Unidentified Non-Magique mother,Human,Female,unknown,Muggle
Unidentified old woman during the Battle of Hogwarts,Human,Female,unknown,unknown
Unidentified Ollivander's assistant,Human,Female,unknown,unknown
Unidentified pamphlet maker witch,Human,Female,unknown,Pure-blood
Unidentified Petrified girl (I),Human,Female,unknown,unknown
Unidentified Petrified girl (II),Human,Female,unknown,unknown
Unidentified Petrified Gryffindor girl,Human,Female,Gryffindor,unknown
Unidentified portrait in Malfoy Manor (I),Human,Female,unknown,Pure-blood
Unidentified portrait in Malfoy Manor (IV),Human,Female,unknown,unknown
Unidentified portrait in Malfoy Manor (V),Human,Female,unknown,Pure-blood
Unidentified Ravenclaw black girl during the Battle of Hogwarts,Human,Female,Ravenclaw,Pure-blood
Unidentified Ravenclaw girl during the Battle of Hogwarts,Human,Female,Ravenclaw,unknown
Unidentified Ravenclaw student asked to the Yule Ball by a Durmstrang student,Human,Female,Ravenclaw,unknown
Unidentified red-haired Gryffindor girl,Human,Female,Gryffindor,unknown
Unidentified Seeker,Human,Female,unknown,unknown
Unidentified sleeping Headmistress with rings,Human,Female,unknown,unknown
Unidentified sleeping Headmistress with sphere,Human,Female,unknown,unknown
Unidentified sleeping Headmistress with wand,Human,Female,unknown,unknown
Unidentified Slytherin girl (I),Human,Female,Slytherin,unknown
Unidentified Slytherin girl (II),Human,Female,Slytherin,unknown
Unidentified Slytherin girl (III),Human,Female,Slytherin,unknown
Unidentified Slytherin girl (IV),Human,Female,Slytherin,unknown
Unidentified soap actress,Human,Female,unknown,Muggle
Unidentified studying girls,Human,Female,unknown,unknown
Unidentified Sudanese Obscurial,Human,Female,unknown,unknown
Unidentified teacher at St. Grogory's Primary School,Human,Female,unknown,Muggle
Unidentified Thestrals,Thestral,Male,unknown,unknown
Unidentified two elderly Wizengamot witches,Human,Female,unknown,unknown
Unidentified witch who tried to fool Alastor Moody on April Fools' Day,Human,Female,unknown,unknown
Unidentified woman in a red dress during the Battle of Hogwarts,Human,Female,unknown,unknown
Unidentified young wife,Human,Female,unknown,Muggle
Cassandra Vablatsky,Human,Female,unknown,unknown
Elsie Valentine Schroeder,Human,Female,unknown,unknown
Valerie Valion,Human,Female,unknown,Muggle
Zara Valli,Human,Female,Hufflepuff,unknown
Louise Van Hawe,Human,Female,unknown,Muggle
Emmeline Vance,Human,Female,unknown,unknown
Emma Vane (Muggle),Human,Female,unknown,Muggle
Emma Vane (witch),Human,Female,unknown,unknown
Emma Vane's mother,Human,Female,unknown,unknown
Romilda Vane,Human,Female,Gryffindor,Pure-blood
Romilda Vane's grandmother,Human,Female,unknown,unknown
Emma Vanity (Gryffindor),Human,Female,Gryffindor,unknown
Emma Vanity (Slytherin),Human,Female,Slytherin,unknown
Nikola Vassileva,Human,Female,unknown,unknown
Septima Vector,Human,Female,unknown,unknown
Verity,Human,Female,unknown,unknown
Veronica Vexmoor,Human,Female,unknown,unknown
Cordelia Vexmoor,Human,Female,unknown,unknown
Vibes Twins,Human,Female,unknown,unknown
Victoria,Human,Female,unknown,Muggle
Viking Girl,Human,Female,unknown,Muggle
Villanelle,Human,Female,unknown,unknown
Violet,Human,Female,unknown,unknown
Voice of lift at the Ministry of Magic,Human,Female,unknown,unknown
Cassandra Vole,Human,Female,unknown,Half-blood
Nerida Vulchanova,Human,Female,unknown,Pure-blood
Valentina Vázquez,Human,Female,unknown,unknown
Joscelind Wadcock,Human,Female,unknown,unknown
Wailing Widow,unknown,Female,unknown,unknown
Wainscott,Human,Female,unknown,Pure-blood
Waitress at Luchino Caffe,Human,Female,unknown,Muggle
Waitress at Treats,Human,Female,unknown,Muggle
Wakanda,Human,Female,unknown,unknown
Lauren Wakefield (in-universe),Human,Female,unknown,Muggle
Alexandra Walker,Human,Female,unknown,unknown
Wandless,Human,Male,unknown,Muggle-born
Celestina Warbeck,Human,Female,Gryffindor,Half-blood
Celestina Warbeck's mother,Human,Female,unknown,Muggle
Mercy Wardwell,Human,Female,unknown,unknown
Myrtle Warren,unknown,Female,Ravenclaw,Muggle-born
Myrtle Warren's mother,Human,Female,unknown,Muggle
Warrington sisters' grandmother,Human,Female,unknown,unknown
Ivy Warrington,Human,Female,unknown,Half-blood
Winifred Warrington,Human,Female,unknown,unknown
Shizuka Watanabe,Human,Female,unknown,unknown
Rose Wax,Human,Female,Gryffindor,unknown
Weasley family chickens,Chicken,unknown,unknown,unknown
Audrey Weasley,Human,Female,unknown,unknown
Dominique Weasley,Human,Female,unknown,unknown
Ginevra Weasley,Human,Female,Gryffindor,Pure-blood
Lucy Weasley,Human,Female,unknown,unknown
Molly Weasley,Human,Female,Gryffindor,Pure-blood
Molly Weasley II,Human,Female,unknown,Pure-blood
Roxanne Weasley,Human,Female,unknown,unknown
Victoire Weasley,Human,Female,unknown,unknown
St Mungo's Welcome Witch,Human,Female,unknown,unknown
Dorcas Wellbeloved,Human,Female,unknown,unknown
Nicola Wells,Human,Female,unknown,unknown
Wendelin the Weird,Human,Female,unknown,unknown
Bridget Wenlock,Human,Female,Hufflepuff,unknown
Bridget Wenlock's cousin,Human,Female,unknown,unknown
Daphne Wenlock,Human,Female,unknown,unknown
Westenberg's wife,Human,Female,unknown,unknown
Kelly Whakkaarangapawarau,Human,Female,unknown,unknown
White-Haired Healer,Human,Female,unknown,unknown
Phylis Whitehead,Human,Female,Slytherin,unknown
Winifred Whittle,Human,Female,unknown,unknown
Ignatia Wildsmith,Human,Female,Ravenclaw,unknown
Ella Wilkins,Human,Female,Slytherin,unknown
Heliotrope Wilkins,Human,Female,unknown,unknown
Charity Wilkinson,Human,Female,unknown,unknown
Saranna Wilkinson,Human,Female,unknown,unknown
Dora Williams,Human,Female,Hufflepuff,unknown
Heliotrope Willis,Human,Female,unknown,unknown
Lady Wimborne,Human,Female,unknown,Muggle-born
Talbott Winger's mother,Human,Female,unknown,unknown
Ruth Winikus,Human,Female,Gryffindor,unknown
Winky,House-elf,Female,unknown,unknown
Winky's grandmother,House-elf,Female,unknown,unknown
Winky's mother,House-elf,Female,unknown,unknown
Winston's niece,Human,Female,unknown,unknown
Jennifer Winston,unknown,Female,unknown,unknown
Witch and Wizard Couple,Human,unknown,unknown,unknown
Witch with a hairy chin,Human,Female,unknown,unknown
Dawn Withey,Human,Female,unknown,unknown
Portrait of a female nurse in the hospital wing,Human,Female,unknown,unknown
Woman at Wedding of Bill and Fleur,Human,Female,unknown,unknown
Woman tended by bald man,Human,Female,unknown,unknown
Oliver Wood's mother,Human,Female,unknown,unknown
Wool woman,Human,Female,unknown,unknown
Bowman Wright's mother,Human,Female,unknown,unknown
Octavia Xeep,Human,Female,unknown,unknown
Zenith Xeep,Human,Female,unknown,unknown
Pauline Yarrow,Human,Female,Gryffindor,unknown
Yaxley's wife,Human,Female,unknown,Pure-blood
Lysandra Yaxley,Human,Female,unknown,Pure-blood
Mizuho Yoshii,Human,Female,Ravenclaw,unknown
Young witch maid,Human,Female,unknown,unknown
Young woman,Human,Female,unknown,Muggle
Yvonne,Human,Female,unknown,Muggle
Blaise Zabini's mother,Human,Female,Slytherin,unknown
Dinaz Zac,Human,Female,Gryffindor,unknown
Rawya Zaghloul,Human,Female,unknown,unknown
Rose Zeller,Human,Female,Hufflepuff,unknown
Ya Zhou,Human,Female,unknown,unknown
Zygmunt Budge's sheep,Sheep,Male,unknown,unknown
2-Headed Baby,Human,Male,unknown,unknown
Omar Abasi,Human,Male,unknown,unknown
Roland Abberley,Human,Male,Ravenclaw,unknown
Theophilus Abbot,Human,Male,unknown,unknown
Giffard Abbott,Human,Male,Hufflepuff,unknown
Euan Abercrombie,Human,Male,Gryffindor,unknown
Abernathy,Human,Male,unknown,unknown
Abraham,Human,Male,unknown,unknown
Cosme Acajor,Human,Male,unknown,unknown
Achilles Tolliver,Human,Male,unknown,unknown
Enoch Acidus,Human,Male,unknown,unknown
Stewart Ackerley,Human,Male,Ravenclaw,unknown
Acolyte thug,Human,Male,unknown,unknown
Actor who played Crapaud,Human,Male,unknown,unknown
Actor who played Grenouille,Human,Male,unknown,unknown
Adrian,Human,Male,unknown,unknown
Falco Aesalon,Human,Male,unknown,unknown
African prince,Human,Male,unknown,Muggle-born
Johann Agardh,Human,Male,unknown,unknown
Jatin Agarkar,Human,Male,Ravenclaw,unknown
Agnes's son,Human,Male,unknown,unknown
Cornelius Agrippa,Human,Male,unknown,unknown
Uchi Akimbo,Human,Male,Slytherin,unknown
Babajide Akingbade,Human,Male,unknown,unknown
Zakir Akram,Human,Male,Gryffindor,unknown
Nick Alas,Human,Male,Gryffindor,unknown
Alastair,Spider,Male,unknown,unknown
Albert,Human,Male,Hufflepuff,unknown
Albino peacock,Peacock,Male,unknown,unknown
Albus Dumbledore's great-great-grandfather,Human,Male,unknown,unknown
Dennis Aldermaston,Human,Male,Ravenclaw,unknown
Alderton,Human,Male,unknown,unknown
Archibald Alderton,Human,Male,unknown,unknown
Arkie Alderton,Human,Male,unknown,Pure-blood
William Alderton,Human,Male,unknown,unknown
Christian Alexander,Human,Male,Gryffindor,unknown
Alguff the Awful,Goblin,Male,unknown,unknown
Astrix Alixan,Human,Male,Gryffindor,unknown
Raul Almeida,Human,Male,unknown,unknown
Pedrus Almeidus,Human,Male,unknown,unknown
Yutaka Amano,Human,Male,Ravenclaw,unknown
Orion Amari,Human,Male,unknown,unknown
Amata's lover,Human,Male,unknown,unknown
Amelia Bones's assistant,Human,Male,unknown,unknown
M. Amerinus,Human,unknown,unknown,unknown
Ancient African sorcerer,Human,Male,unknown,unknown
Scott Ancrum,Human,Male,Ravenclaw,unknown
Olaf Andersen,Human,Male,unknown,unknown
Anderson,Human,Male,unknown,Muggle
Andrew,Human,Male,Ravenclaw,unknown
Andros the Invincible,Human,Male,unknown,unknown
Brandon Angel,Human,Male,Gryffindor,unknown
Angry wizard,Human,Male,unknown,unknown
Angus,Human,Male,unknown,unknown
Announcer at Henry Shaw Junior's fundraising dinner,Human,Male,unknown,Muggle
Jonny Anomaly,Human,Male,unknown,Muggle
"Anonymous author of Hairy Snout, Human Heart",unknown,Male,unknown,unknown
Owen Anthony,Human,Male,Gryffindor,unknown
Antonio,Chupacabra,Male,unknown,unknown
Apothecary shopkeeper,Human,Male,unknown,unknown
Aragog,Acromantula,Male,unknown,unknown
Walter Aragon,Human,Male,unknown,unknown
Arcadinho,Human,Male,unknown,unknown
Architect of Hogwarts,Human,Male,unknown,unknown
Arcus,Human,Male,unknown,unknown
Arkie Alderton's alleged son,Human,Male,unknown,Muggle-born
Armenian warlock,Human,Male,unknown,unknown
Arnold,Pygmy Puff,Male,unknown,unknown
Arthur,Human,Male,unknown,unknown
Arthur (Hufflepuff student),Human,Male,Hufflepuff,unknown
Arthur Weasley's contact at the Floo Regulation Panel,Human,Male,unknown,unknown
Duncan Ashe,unknown,Male,Slytherin,unknown
Silvio Astolfi,Human,Male,unknown,unknown
Bertram Aubrey,Human,Male,unknown,unknown
Unidentified male Auror at Hogwarts,Human,Male,unknown,unknown
Unidentified Aurors stationed at the Great Hall,Human,Male,unknown,unknown
Edwin Avarus,Human,Male,unknown,unknown
Avery I,Human,Male,Slytherin,Pure-blood
Avery II,Human,Male,Slytherin,Pure-blood
Aviemore station master,unknown,Male,unknown,unknown
Archie Aymslowe,Human,Male,unknown,unknown
Michael Babatola,Human,Male,unknown,Muggle
Malcolm Baddock,Human,Male,Slytherin,unknown
Badgered Boy,unknown,Male,unknown,unknown
Patrick Bagby,Human,Male,Hufflepuff,unknown
Ludovic Bagman's father,Human,Male,unknown,Pure-blood
Ludovic Bagman,Human,Male,unknown,Pure-blood
Otto Bagman,Human,Male,unknown,Pure-blood
Fred Baille,Human,Male,unknown,Muggle
Arjuna Balaji,Human,Male,Ravenclaw,unknown
Bald Healer,Human,Male,unknown,unknown
Alistair Ballcocke,Human,Male,unknown,unknown
Alistaire Ballcocke,Human,Male,unknown,unknown
Pete Balsall,Human,Male,Gryffindor,unknown
Humphrey Balsamo,Human,Male,unknown,unknown
Damien Bandrel,Human,Male,unknown,unknown
Bane,Centaur,Male,unknown,unknown
Heathcote Barbary,Human,Male,unknown,unknown
José Barboza,Human,Male,unknown,unknown
Bartholomew Barebone,Human,Male,unknown,Muggle
Credence Barebone,Human,Male,unknown,Half-blood
Modesty Barebone's biological father,Human,Male,unknown,unknown
Lucas Bargeworthy,unknown,Male,unknown,unknown
Barker (Muggle),Human,Male,unknown,Muggle
Barman at the Three Broomsticks,Human,Male,unknown,unknown
Barnabas the Barmy,Human,Male,unknown,unknown
Maxwell Barnett,Human,Male,unknown,unknown
Barny the Fruitbat,Fruit bat,Male,unknown,unknown
Old Posh Baron,Human,Male,Gryffindor,unknown
J. M. Barrie,Human,Male,unknown,unknown
Bartholomew,Human,Male,unknown,unknown
Baruffio,Human,Male,unknown,unknown
Ali Bashir,Human,Male,unknown,unknown
Basil,Human,Male,unknown,Pure-blood
Basil Silva,Human,Male,unknown,unknown
Tristram Bassenthwaite,Human,Male,Slytherin,unknown
John Bastedo,Human,Male,unknown,unknown
Podric Batworthy,Human,Male,unknown,unknown
Podric Batworthy XXIII,Human,Male,unknown,unknown
Charlie Baverstock,Human,Male,unknown,unknown
Oswald Beamish,Human,Male,unknown,unknown
Martin Beccles,Human,Male,Hufflepuff,unknown
Bedivere,Human,Male,unknown,unknown
Beedle the Bard,Human,Male,unknown,unknown
Herbert Beery,Human,Male,unknown,unknown
Damocles Belby,Human,Male,unknown,unknown
Flavius Belby,Human,Male,unknown,unknown
Marcus Belby,Human,Male,Ravenclaw,Half-blood
Marcus Belby's father,Human,Male,Ravenclaw,unknown
Eugene Belcher,Human,Male,unknown,Muggle
Humphrey Belcher,Human,Male,unknown,unknown
Cassius Bell,Human,Male,unknown,unknown
Katie Bell's father,Human,Male,unknown,unknown
Albert Bellchant,Human,Male,unknown,Pure-blood
Astor Bellchant,Human,Male,unknown,unknown
Bem,Human,Male,Gryffindor,unknown
Benedict,Human,Male,unknown,Muggle
Angelo Benitez,unknown,Male,unknown,Muggle
Benjamin Hater,unknown,Male,unknown,unknown
Bennett Burgess,Human,Male,unknown,unknown
Archibald Bennett,Human,Male,unknown,unknown
Bernie,Human,Male,unknown,unknown
Darius Berrow,Human,Male,Slytherin,unknown
Mordecai Berrycloth,Human,Male,unknown,unknown
Ethan Bexley,Human,Male,Ravenclaw,unknown
Norville Bezerko,Human,Male,unknown,unknown
Yatin Bhagat,Human,Male,Slytherin,unknown
Archibald Bienbon,Human,Male,unknown,unknown
Hugh Biggs,Human,Male,Gryffindor,unknown
Bilius,Human,Male,unknown,Pure-blood
William Billings,unknown,Male,unknown,Muggle
Billingsley,Human,Male,unknown,unknown
Bilton Bilmes,Human,Male,unknown,unknown
Bimp,Human,Male,unknown,unknown
Gilbert Bingley,Human,Male,unknown,Muggle
Binky,Rabbit,Male,unknown,unknown
Cuthbert Binns's father,Human,Male,unknown,unknown
Cuthbert Binns,unknown,Male,unknown,unknown
Brevis Birch,Human,Male,unknown,unknown
Trevor Birch,Human,Male,Ravenclaw,unknown
Dennis Bishop,Human,Male,unknown,Muggle
Black Knight,unknown,Male,unknown,unknown
Alphard Black,Human,Male,Slytherin,Pure-blood
Arcturus Black I,Human,Male,Slytherin,Pure-blood
Arcturus Black II,Human,Male,Slytherin,Pure-blood
Arcturus Black III,Human,Male,Slytherin,Pure-blood
Cygnus Black I,Human,Male,Slytherin,Pure-blood
Cygnus Black II,Human,Male,Slytherin,Pure-blood
Cygnus Black III,Human,Male,Slytherin,Pure-blood
Eduardus Limette Black,Human,Male,unknown,Pure-blood
Licorus Black,Human,Male,Slytherin,Pure-blood
Marius Black,Human,Male,unknown,Squib
Orion Black,Human,Male,Slytherin,Pure-blood
Phineas Black,Human,Male,unknown,Pure-blood
Phineas Nigellus Black,Human,Male,Slytherin,Pure-blood
Pollux Black,Human,Male,Slytherin,Pure-blood
Regulus Black,Human,Male,Slytherin,Pure-blood
Regulus Black I,Human,Male,Slytherin,Pure-blood
Sirius Black,Human,Male,Gryffindor,Pure-blood
Sirius Black I,Human,Male,unknown,Pure-blood
Sirius Black II,Human,Male,unknown,Pure-blood
Philip Blagdon,Human,Male,Hufflepuff,unknown
Blaise Zabini's mother's seven husbands,Human,Male,unknown,unknown
Balfour Blane,Human,Male,unknown,unknown
Blagdon Blay,Human,Male,unknown,unknown
Barnabus Blenkinsop,Human,Male,unknown,unknown
Timothy Blenkinsop,Human,Male,unknown,unknown
Kevin Bletchley,Human,Male,Slytherin,unknown
Miles Bletchley,Human,Male,Slytherin,unknown
Yuri Von Blisch,Human,Male,unknown,unknown
Yuri Blischen,Human,Male,unknown,unknown
David Blishen,Human,Male,unknown,Muggle
Yuri Blishen,Human,Male,unknown,unknown
Yuri Blishenov,Human,Male,unknown,unknown
Jimbo Blishwick,Human,Male,unknown,Pure-blood
Robert Bliss,Human,Male,unknown,Muggle
Bloke who fixed the toilet at Leaky Cauldron,Human,Male,unknown,unknown
Jean-Baptiste Bloncourt,Human,Male,unknown,unknown
Bloody Baron,unknown,Male,Slytherin,unknown
Raymond Bloom,unknown,Male,unknown,Muggle
Blordak,Goblin,Male,unknown,unknown
Peter Blotting,Human,Male,unknown,unknown
Beatrix Bloxam's father,Human,Male,unknown,unknown
Blodwyn Bludd,Vampire,Male,unknown,unknown
Bly,Human,Male,unknown,unknown
Boa constrictor at the Zoo,Boa constrictor,Male,unknown,unknown
Stubby Boardman,Human,Male,unknown,unknown
Bob,Human,Male,unknown,unknown
Broderick Bode,Human,Male,unknown,unknown
Bodrod the Bearded,Goblin,Male,unknown,unknown
Bogrod,Goblin,Male,unknown,unknown
Boil-ridden house-elf,House-elf,Male,unknown,unknown
Lucian Bole,Human,Male,Slytherin,unknown
Edmund Bollifant,Human,Male,unknown,Muggle
Hector Bolobolo,Human,Male,unknown,unknown
Pierre Bonaccord,Human,Male,unknown,unknown
Amelia Bones's father,Human,Male,Hufflepuff,unknown
Edgar Bones,Human,Male,Hufflepuff,Half-blood
